"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"1420","Frankfurt/Main","8.521294","50.025911","100.0","https://cdc.dwd.de/rest/metadata/station/html/812300004455"
"4560","Schotten","9.122558","50.492508","265.0","https://cdc.dwd.de/rest/metadata/station/html/812300009447"
"3164","Cölbe, Kr. Marburg-Biedenkopf","8.774608","50.849212","187.0","https://cdc.dwd.de/rest/metadata/station/html/812300066215"
"7396","Hoherodskopf/Vogelsberg","9.224703","50.508441","743.0","https://cdc.dwd.de/rest/metadata/station/html/812300071207"
"1580","Geisenheim","7.954826","49.985894","110.0","https://cdc.dwd.de/rest/metadata/station/html/812300122983"
"5133","Twistetal-Mühlhausen","8.913191","51.3344","295.0","https://cdc.dwd.de/rest/metadata/station/html/812300127975"
"817","Burgwald-Bottendorf","8.814579","51.030634","293.0","https://cdc.dwd.de/rest/metadata/station/html/812300179751"
"3442","Nauheim, Bad","8.750637","50.357372","149.0","https://cdc.dwd.de/rest/metadata/station/html/812300184743"
"1863","Gründau-Breitenborn","9.185383","50.266701","258.0","https://cdc.dwd.de/rest/metadata/station/html/812300241511"
"5371","Wasserkuppe","9.942739","50.497277","921.0","https://cdc.dwd.de/rest/metadata/station/html/812300246503"
"1297","Eschwege","10.013767","51.204132","156.0","https://cdc.dwd.de/rest/metadata/station/html/812300298279"
"4480","Schlüchtern-Herolz","9.553369","50.344653","230.0","https://cdc.dwd.de/rest/metadata/station/html/812300303271"
"3042","Löhnberg-Obershausen","8.238629","50.561656","230.0","https://cdc.dwd.de/rest/metadata/station/html/812300360039"
"7341","Offenbach-Wetterpark","8.786189","50.090012","119.0","https://cdc.dwd.de/rest/metadata/station/html/812300365031"
"1504","Fritzlar (Flugplatz)","9.279907","51.119021","172.0","https://cdc.dwd.de/rest/metadata/station/html/812300416807"
"4978","Tann/Rhön","10.022846","50.639028","395.0","https://cdc.dwd.de/rest/metadata/station/html/812300421799"
"330","Oberzent-Beerfelden","8.967329","49.561729","455.0","https://cdc.dwd.de/rest/metadata/station/html/812300473575"
"3287","Michelstadt-Vielbrunn","9.099689","49.717633","453.0","https://cdc.dwd.de/rest/metadata/station/html/812300478567"
"15207","Schauenburg-Elgershausen","9.358959","51.283452","317.0","https://cdc.dwd.de/rest/metadata/station/html/812300483559"
"1645","Gilserberg-Moischeid","9.050014","50.965565","340.0","https://cdc.dwd.de/rest/metadata/station/html/812300535335"
"5300","Waldems-Reinborn","8.360676","50.259603","380.0","https://cdc.dwd.de/rest/metadata/station/html/812300540327"
"979","Dillenburg","8.267238","50.736371","314.0","https://cdc.dwd.de/rest/metadata/station/html/812300592103"
"4411","Schaafheim-Schlierbach","8.967138","49.919516","155.0","https://cdc.dwd.de/rest/metadata/station/html/812300597095"
"2601","Kleiner Feldberg/Taunus","8.446886","50.221796","826.0","https://cdc.dwd.de/rest/metadata/station/html/812300653863"
"6344","Runkel-Ennerich","8.142276","50.393972","168.0","https://cdc.dwd.de/rest/metadata/station/html/812300658855"
"1424","Frankfurt/Main-Westend","8.669403","50.126906","124.0","https://cdc.dwd.de/rest/metadata/station/html/812300710631"
"4763","Sontra","9.926618","51.060686","265.0","https://cdc.dwd.de/rest/metadata/station/html/812300715623"
"1526","Fulda-Horas","9.65325","50.566806","242.0","https://cdc.dwd.de/rest/metadata/station/html/812300731879"
"91","Alsfeld-Eifa","9.344972","50.744591","300.0","https://cdc.dwd.de/rest/metadata/station/html/812300767399"
"3284","Michelstadt","9.008549","49.669107","240.0","https://cdc.dwd.de/rest/metadata/station/html/812300772391"
"7410","Neu-Ulrichstein","9.02243","50.75133","350.0","https://cdc.dwd.de/rest/metadata/station/html/812300777383"
"1639","Gießen/Wettenberg","8.643902","50.601713","203.0","https://cdc.dwd.de/rest/metadata/station/html/812300829159"
"5279","Wesertal-Lippoldsberg","9.57491","51.61941","176.0","https://cdc.dwd.de/rest/metadata/station/html/812300834151"
"917","Darmstadt","8.677906","49.880895","162.0","https://cdc.dwd.de/rest/metadata/station/html/812300885927"
"3527","Neukirchen-Hauptschwenda","9.40498","50.89228","500.0","https://cdc.dwd.de/rest/metadata/station/html/812300890919"
"2171","Hersfeld, Bad","9.737694","50.851957","272.0","https://cdc.dwd.de/rest/metadata/station/html/812300947687"
"5541","Wiesbaden-Auringen","8.31695","50.13202","263.0","https://cdc.dwd.de/rest/metadata/station/html/812300952679"
